Il faut que tu termines ceci avant que je parte.|I need you to finish this before I leave.
Il reste à voir si les réformes auront l'effet souhaité à long terme.|It remains to be seen whether the reforms will have the desired effect in the long term.
Il a noté que le manque de transparence avait sapé la confiance dans l'institution.|He noted that the lack of transparency had undermined trust in the institution.
La situation appelle une approche nuancée qui tienne compte de toutes les parties prenantes.|The situation calls for a nuanced approach that takes all stakeholders into account.
Les résultats du programme pilote éclaireront les décisions de politique dans ce domaine à l'avenir.|The results of the pilot programme will inform future policy decisions in this area.
Elle a soutenu que les pressions économiques à court terme ne devraient pas se faire au détriment de la durabilité à long terme.|She argued that short-term economic pressures should not come at the expense of long-term sustainability.
La complexité du système fiscal a été citée comme un obstacle majeur pour les propriétaires de petites entreprises.|The complexity of the tax system has been cited as a major obstacle for small business owners.
Il a soutenu que l'organisation avait agi de bonne foi tout au long du processus.|He maintained that the organisation had acted in good faith throughout the process.
Le panel s'est accordé sur la nécessité de davantage de recherches avant de tirer des conclusions fermes.|The panel agreed that more research is needed before any firm conclusions can be drawn.
Elle avait des réserves quant au rythme du changement mais reconnaissait que des mesures s'imposaient.|She had reservations about the pace of change but acknowledged that action was necessary.
L'initiative a bénéficié du soutien de tous les partis, reflétant un rare moment de consensus politique.|The initiative received cross-party support, reflecting a rare moment of political consensus.
Il était d'avis que la solution proposée était techniquement solide mais économiquement irréalisable.|He was of the opinion that the proposed solution was technically sound but economically unfeasible.
Les résultats remettent en question les idées reçues sur la relation entre l'éducation et le revenu.|The findings challenge widely held assumptions about the relationship between education and income.
Elle a insisté sur le fait que toute solution doit être à la fois évolutive et durable dans le temps.|She emphasised that any solution must be both scalable and sustainable over time.
Les conséquences de l'inaction sont susceptibles de dépasser les coûts de mise en oeuvre des mesures proposées.|The consequences of inaction are likely to outweigh the costs of implementing the proposed measures.
Il était réticent à s'engager sur un calendrier précis tant que toutes les variables n'avaient pas été prises en compte.|He was reluctant to commit to a specific timeline until all the variables had been accounted for.
La question de la meilleure façon de remédier aux inégalités de revenus reste un sujet de débat intense.|The question of how best to address income inequality remains a subject of intense debate.
Elle était ravie d'annoncer que le projet pilote avait dépassé tous ses objectifs initiaux.|She was pleased to report that the pilot project had exceeded all initial targets.
Il a attiré l'attention sur l'impact disproportionné de la politique sur les communautés marginalisées.|He drew attention to the disproportionate impact of the policy on marginalised communities.
Le cadre proposé nécessiterait des changements significatifs de l'infrastructure existante.|The proposed framework would require significant changes to existing infrastructure.
Elle etait d'avis qu'une approche collaborative plutôt que compétitive produirait de meilleurs résultats.|She was of the view that a collaborative rather than a competitive approach would yield better results.
Le comité a reconnu que le processus n'avait pas été aussi transparent qu'il aurait dû l'être.|The committee acknowledged that the process had not been as transparent as it should have been.
Il a indiqué que plusieurs options étaient encore à l'étude avant qu'une décision finale soit prise.|He indicated that several options were still being evaluated before a final decision would be made.
La fréquence croissante des phénomènes météorologiques extrêmes a suscité des appels à une action climatique urgente.|The increasing frequency of extreme weather events has prompted calls for urgent climate action.
Elle a fait remarquer que les avantages à long terme de l'investissement dépasseraient de loin les coûts à court terme.|She pointed out that the long-term benefits of the investment would far outweigh the short-term costs.
La proposition a suscité une opposition significative de la part de ceux qui estimaient qu'elle ne s'attaquait pas aux causes profondes.|The proposal garnered significant opposition from those who felt it failed to address root causes.
Il a concede que l'approche adoptée n'avait pas produit les résultats escomptés.|He conceded that the approach taken had not delivered the expected outcomes.
Le rapport conclut qu'une refonte fondamentale du modèle actuel est nécessaire.|The report concludes that a fundamental rethinking of the current model is required.
Elle a observe que la relation entre les deux organisations s'était progressivement deteriorée.|She observed that the relationship between the two organisations had become increasingly strained over time.
La mise en oeuvre du nouveau système est conditionnée par l'achèvement réussi de la phase de test.|The implementation of the new system is contingent upon the successful completion of the testing phase.
Il a exhorté les parties prenantes à se concentrer sur les résultats plutôt que sur les processus lors de l'évaluation du succès.|He urged stakeholders to focus on outcomes rather than processes when evaluating success.
L'introduction des nouvelles mesures a coïncidé avec une période d'incertitude considérable dans le secteur.|The introduction of the new measures coincided with a period of considerable uncertainty in the sector.
Elle a ete frappee par le contraste entre le discours officiel et la realite vecue sur le terrain.|She was struck by the contrast between the official narrative and the reality experienced by those on the ground.
Il a questionne dans quelle mesure le succes de l'initiative pouvait etre attribue aux changements de politique.|He questioned the extent to which the success of the initiative could be attributed to the policy changes.
L'organisation s'est engagée à favoriser une culture d'innovation et d'amélioration continue.|The organisation is committed to fostering a culture of innovation and continuous improvement.
Elle a note que les benefices du dispositif etaient inegalement repartis entre les differentes regions.|She noted that the benefits of the scheme were unevenly distributed across different regions.
Il a admis que l'organisation avait ete lente a repondre aux besoins changeants de ses utilisateurs.|He conceded that the organisation had been slow to respond to the changing needs of its users.
La stratégie repose largement sur la collaboration intersectorielle pour atteindre ses objectifs.|The strategy relies heavily on cross-sector collaboration to achieve its objectives.
Elle a averti que sans financements accrus la qualite des services publics se degraderait inevitablement.|She warned that without increased funding, the quality of public services would inevitably decline.
Il a presente une vision d'une approche plus inclusive et equitable du developpement urbain.|He outlined a vision for a more inclusive and equitable approach to urban development.
La question de la confidentialité des données est devenue de plus en plus centrale dans le discours public sur la technologie.|The question of data privacy has become increasingly central to public discourse on technology.
Le paradoxe de la tolérance suggère qu'une tolérance illimitée doit finalement conduire à la disparition de la tolérance elle-même.|The paradox of tolerance suggests that unlimited tolerance must eventually lead to the disappearance of tolerance itself.
Il a soutenu que la légitimité de l'autorité politique découlait non pas de la tradition mais du consentement rationnel.|He contended that the legitimacy of political authority derived not from tradition but from rational consent.
Elle a soutenu que la concentration de l'autorité épistémique dans les institutions d'élite était elle-même une forme de pouvoir structurel.|She argued that the concentration of epistemic authority in elite institutions was itself a form of structural power.
L'architecture des incitations au sein des institutions sape souvent les valeurs mêmes que ces institutions prétendent défendre.|The architecture of incentives within institutions often undermines the very values those institutions claim to uphold.
Il a remis en question l'hypothèse que le progrès technologique était intrinsèquement neutre ou exempt de valeurs.|He challenged the assumption that technological progress was inherently neutral or value-free.
Elle a soutenu que le racisme structurel pouvait persister sans intentions racistes chez les acteurs individuels.|She maintained that structural racism could persist without racist intentions among individual actors.
La notion de méritocratie peut fonctionner idéologiquement pour naturaliser le privilège et dissimuler l'avantage structurel.|The notion of meritocracy may function ideologically to naturalise privilege and conceal structural advantage.
Il a soutenu que la démocratie délibérative exigeait non seulement la liberté d'expression mais aussi des conditions équitables pour la participation.|He argued that deliberative democracy required not just free speech but equitable conditions for participation.
Elle a examiné comment l'État post-colonial avait hérité de structures administratives qui servaient des intérêts coloniaux et non nationaux.|She examined how the post-colonial state had inherited administrative structures that served colonial not national interests.
La distinction entre liberté négative et liberté positive a de profondes conséquences sur la conception des institutions sociales.|The distinction between negative liberty and positive liberty has profound consequences for the design of social institutions.
Il a soutenu que le contrat social tel qu'il est généralement théorisé excluait systématiquement les femmes et les non-propriétaires.|He contended that the social contract as typically theorised systematically excluded women and non-property owners.
Elle a soutenu que la gouvernance néolibérale avait systématiquement transféré le risque des institutions vers les individus.|She argued that neoliberal governance had systematically transferred risk from institutions to individuals.
Le concept d'hégémonie aide à expliquer comment les classes dominantes maintiennent le pouvoir non seulement par la coercition mais par le consentement culturel.|The concept of hegemony helps explain how dominant classes maintain power not only through coercion but through cultural consent.
Il a soutenu que le monopole de l'État sur la violence légitime était à la fois le fondement de l'ordre et une source potentielle de tyrannie.|He maintained that the state's monopoly on legitimate violence was both the foundation of order and a potential source of tyranny.
Elle a examiné si le droit international était véritablement contraignant pour les États puissants ou s'il restait aspirationnel.|She examined whether international law was genuinely binding on powerful states or remained aspirational.
La tension entre souveraineté et interventionnisme en matière de droits de l'homme reste l'un des dilemmes centraux non résolus de l'ordre international.|The tension between sovereignty and human rights interventionism remains one of the central unresolved dilemmas of international order.
Il a soutenu que le contrôle judiciaire était essentiel pour protéger les droits constitutionnels face aux majorités démocratiques.|He argued that judicial review was essential for protecting constitutional rights from democratic majorities.
Elle a soutenu que la marchandisation du savoir représentait une menace fondamentale pour la liberté académique.|She contended that the commodification of knowledge represented a fundamental threat to academic freedom.
Le statut épistémique des systèmes de savoir autochtones a été systématiquement sous-évalué dans les paradigmes scientifiques occidentaux.|The epistemic status of indigenous knowledge systems has been persistently undervalued within Western scientific paradigms.
Il a soutenu que la violence politique ne pouvait être comprise qu'en relation avec les injustices structurelles qui la généraient.|He maintained that political violence could only be understood in relation to the structural injustices that generated it.
Elle a soutenu que l'État-providence avait été crucial pour décommodifier le travail et modérer les pires tendances du capitalisme.|She argued that the welfare state had been crucial in decommodifying labour and moderating capitalism's worst tendencies.
Les contradictions entre les impératifs de croissance économique et la durabilité écologique pourraient s'avérer irréconciliables dans les cadres capitalistes existants.|The contradictions between economic growth imperatives and ecological sustainability may prove irreconcilable within existing capitalist frameworks.
Il a soutenu que la sécuritisation de la migration avait faussé la compréhension publique et conduit à des réponses politiques déshumanisantes.|He contended that securitisation of migration had distorted public understanding and led to dehumanising policy responses.
Elle a examiné comment la figure du réfugié avait été simultanément construite comme victime et menace pour la sécurité dans le discours politique.|She examined how the figure of the refugee had been simultaneously constructed as victim and security threat in political discourse.
Le concept de démocratie cosmopolite remet en question la primauté de l'État-nation comme lieu exclusif de la gouvernance démocratique.|The concept of cosmopolitan democracy challenges the primacy of the nation-state as the exclusive locus of democratic governance.
Il a soutenu que l'esthétisation de la politique était l'une des caractéristiques déterminantes des régimes fascistes.|He argued that the aestheticisation of politics was one of the defining characteristics of fascist regimes.
Elle a soutenu que le langage ne décrivait pas simplement la réalité sociale mais la constituait activement.|She maintained that language did not simply describe social reality but actively constituted it.
La prolifération de la désinformation remet en question non seulement l'épistémologie publique mais la possibilité même de la délibération démocratique.|The proliferation of disinformation challenges not only public epistemology but the very possibility of democratic deliberation.
Il a soutenu que le recul démocratique était le plus dangereux lorsqu'il se produisait progressivement plutôt que par une rupture soudaine.|He contended that democratic backsliding was most dangerous when it occurred incrementally rather than through sudden rupture.
Elle a examiné comment la manipulation électorale pouvait saper la légitimité démocratique sans violer techniquement les règles électorales.|She examined how electoral manipulation could undermine democratic legitimacy without technically violating electoral rules.
La théorie de la dépendance au chemin suggère que les décisions historiques contraignent les choix futurs d'une manière de plus en plus difficile à inverser.|The theory of path dependence suggests that historical decisions constrain future choices in ways that become increasingly difficult to reverse.
Il a soutenu que la capacité de l'État à réguler le capital avait été systématiquement érodée par la mondialisation et la financiarisation.|He argued that the state's capacity to regulate capital had been systematically eroded by globalisation and financialisation.
Elle a soutenu que la littérature postcoloniale offrait des contre-narratifs qui déstabilisaient l'historiographie eurocentrique.|She maintained that postcolonial literature offered counter-narratives that destabilised Eurocentric historiography.
La juridification de la vie sociale risque de transformer les questions politiques et morales en disputes juridiques techniques.|The juridification of social life risks transforming political and moral questions into technical legal disputes.
Il a soutenu que la financiarisation de la vie quotidienne avait colonisé l'expérience subjective à travers la dette et le risque.|He contended that the financialisation of everyday life had colonised subjective experience through debt and risk.
Elle a soutenu que l'invisibilité du travail de soin dans les modèles économiques représentait un profond échec de la comptabilité sociale.|She argued that the invisibility of care work in economic models represented a profound failure of social accounting.
La distinction entre le pouvoir sur et le pouvoir avec reflète des conceptions fondamentalement différentes de l'agency politique.|The distinction between power over and power with reflects fundamentally different conceptions of political agency.
Il a examiné comment les cultures d'audit dans les institutions publiques avaient remplacé le jugement professionnel par des métriques de performance quantitatives.|He examined how audit cultures in public institutions had displaced professional judgement with quantitative performance metrics.
Elle a soutenu que la politique de reconnaissance était incomplète sans redistribution des ressources matérielles.|She maintained that the politics of recognition was incomplete without redistribution of material resources.
L'hypothèse libérale selon laquelle le marché et la démocratie se renforcent mutuellement a été remise en question par le capitalisme autoritaire.|The liberal assumption that the market and democracy are mutually reinforcing has been challenged by authoritarian capitalism.
Il a soutenu que la justice environnementale nécessitait non seulement une restauration écologique mais aussi la reconnaissance de l'impact disproportionné sur les communautés marginalisées.|He argued that environmental justice required not just ecological restoration but recognition of disproportionate impact on marginalised communities.
Elle a examiné la relation entre la rationalité bureaucratique et le désengagement moral dans les institutions responsables de préjudices.|She examined the relationship between bureaucratic rationality and moral disengagement in institutions responsible for harm.
Le concept d'essentialisme stratégique reconnaît que les revendications d'identité peuvent être politiquement nécessaires même lorsqu'elles sont philosophiquement problématiques.|The concept of strategic essentialism acknowledges that identity claims can be politically necessary even when philosophically problematic.
Il a soutenu que l'État administratif était devenu si complexe qu'il échappait effectivement à la responsabilité démocratique.|He contended that the administrative state had become so complex that it effectively escaped democratic accountability.
Elle a soutenu que l'esthétique de la résistance était aussi politiquement significative que les programmes politiques explicites.|She argued that the aesthetics of resistance were as politically significant as explicit political programmes.
La tension productive entre universalisme et particularisme reste non résolue au cœur de la philosophie politique contemporaine.|The productive tension between universalism and particularism remains unresolved at the heart of contemporary political philosophy.
Il a examiné comment les systèmes technologiques incarnent des choix politiques qui sont rarement rendus visibles aux utilisateurs finals.|He examined how technological systems embody political choices that are rarely made visible to end users.
Elle a soutenu que les voix subalternes ne pouvaient pas être récupérées par les cadres académiques dominants sans distorsion.|She maintained that subaltern voices could not be recuperated by dominant academic frameworks without distortion.
La privatisation des biens publics représente une redistribution fondamentale du risque du collectif vers l'individu.|The privatisation of public goods represents a fundamental redistribution of risk from the collective to the individual.
Il a soutenu que l'expertise technocratique ne pouvait pas se substituer à la délibération démocratique dans les questions normatives contestées.|He contended that technocratic expertise could not substitute for democratic deliberation in contested normative questions.
Elle a examiné la contradiction entre les aspirations universalistes des Lumières et ses exclusions particularistes.|She examined the contradiction between the universalist aspirations of the Enlightenment and its particularist exclusions.
La résilience des institutions démocratiques dépend non seulement des règles constitutionnelles mais aussi des normes civiques partagées et de la culture politique.|The resilience of democratic institutions depends not just on constitutional rules but on shared civic norms and political culture.
Il a soutenu que l'idéologie de l'efficience avait été utilisée pour légitimer le démantèlement des protections sociales et des droits des travailleurs.|He argued that the ideology of efficiency had been used to legitimate the dismantling of social protections and worker rights.
Elle a soutenu que le populisme n'était pas simplement un style rhétorique mais une logique distincte de représentation politique.|She maintained that populism was not merely a rhetorical style but a distinct logic of political representation.
L'émergence de la gouvernance privée à travers les plateformes, les organismes de normalisation et les agences de notation remet en question les conceptions traditionnelles de la souveraineté de l'État.|The emergence of private governance through platforms, standards bodies and rating agencies challenges traditional accounts of state sovereignty.
Il a examiné comment les moments constitutionnels de rupture et de refondation avaient reconfiguré les ordres politiques à travers l'histoire.|He examined how constitutional moments of rupture and refoundation had reshaped political orders throughout history.
Elle a soutenu que la financiarisation de l'enseignement supérieur avait fondamentalement modifié la fonction sociale de l'université.|She argued that the financialisation of higher education had fundamentally altered the social function of the university.
Le statut normatif du droit international dépend fondamentalement d'hypothèses contestées sur le consentement des États et les valeurs universelles.|The normative status of international law depends fundamentally on contested assumptions about state consent and universal values.
Il a soutenu que l'essor de la prise de décision algorithmique avait transféré la responsabilité loin des agents humains identifiables.|He contended that the rise of algorithmic decision-making had transferred accountability away from identifiable human agents.
Elle a examiné comment la gouvernance des risques dans des conditions de profonde incertitude nécessitait de nouvelles formes de délibération préventive.|She examined how risk governance under conditions of deep uncertainty required new forms of precautionary deliberation.
La privatisation des fonctions de sécurité soulève des questions fondamentales sur le monopole de la violence légitime revendiqué par l'État.|The privatisation of security functions raises fundamental questions about the monopoly of legitimate violence claimed by the state.
Il a soutenu que l'érosion des protections du travail reflétait non pas une nécessité marchande mais des choix politiques délibérés.|He argued that the erosion of labour protections reflected not market necessity but deliberate political choices.
Elle a soutenu que la théologie politique révélait la dépendance de l'État laïc à des concepts hérités des traditions religieuses.|She maintained that political theology revealed the secular state's dependence on concepts inherited from religious traditions.
Le concept de sécurité ontologique éclaire pourquoi les États poursuivent la reconnaissance symbolique ainsi que les intérêts matériels.|The concept of ontological security illuminates why states pursue symbolic recognition as well as material interests.
Il a examiné comment l'urbanisme avait historiquement servi les intérêts de classe en ségrégant l'espace et en limitant la mobilité de la classe ouvrière.|He examined how urban planning historically served class interests by segregating space and constraining working-class mobility.
Elle a soutenu que le concept de développement durable dissimulait des tensions non résolues entre les impératifs de croissance et les limites écologiques.|She argued that the concept of sustainable development concealed unresolved tensions between growth imperatives and ecological limits.
La transformation des citoyens en consommateurs dans l'économie politique néolibérale a reconfiguré les attentes envers les services publics.|The transformation of citizens into consumers in neoliberal political economy has reshaped expectations of public services.
Il a soutenu que la gouvernance des biens communs n'exigeait ni le marché ni l'État mais des arrangements institutionnels auto-organisés.|He contended that the governance of commons required neither market nor state but self-organised institutional arrangements.
Elle a examiné comment le traumatisme pouvait être utilisé politiquement pour justifier des mesures exceptionnelles et suspendre les procédures juridiques normales.|She examined how trauma could become politically weaponised to justify exceptional measures and suspend normal legal procedures.
La relation entre droit et justice n'est ni simple ni garantie puisque les systèmes juridiques peuvent institutionnaliser l'injustice.|The relationship between law and justice is neither straightforward nor guaranteed since legal systems can institutionalise injustice.
Il a soutenu que la citoyenneté démocratique exigeait non seulement des droits formels mais aussi les conditions matérielles nécessaires pour les exercer.|He argued that democratic citizenship required not only formal rights but the material conditions necessary to exercise them.
Elle a soutenu que la métaphore du marché dans le discours politique naturalisait des formes particulières de valeur au détriment des autres.|She maintained that the market metaphor in political discourse naturalised particular forms of value at the expense of others.
La crise de l'ordre libéral a exposé la fragilité d'institutions supposées auto-entretenues lorsqu'elles ne sont pas activement défendues.|The crisis of liberal order has exposed the fragility of institutions assumed to be self-sustaining when not actively defended.
Il a examiné comment la concentration des richesses avait transformé la philanthropie en mécanisme d'exercice du pouvoir privé sur les biens publics.|He examined how the concentration of wealth had transformed philanthropy into a mechanism for exercising private power over public goods.
Elle a soutenu que le discours de sécurité avait été élargi pour justifier une surveillance de l'État disproportionnée par rapport aux menaces réelles.|She argued that the discourse of security had been expanded to justify state surveillance disproportionate to actual threats.
Le paradoxe de la démocratie est qu'elle contient en elle-même les moyens procéduraux de son propre démantèlement.|The paradox of democracy is that it contains within itself the procedural means for its own dismantling.
Il a soutenu que le nationalisme contemporain était moins axé sur la culture partagée que sur la délimitation d'exclusion contre les soi-disant étrangers.|He contended that contemporary nationalism was less about shared culture than about exclusionary boundary-marking against perceived outsiders.
Elle a examiné comment la construction de l'Autre avait historiquement servi à consolider et justifier le pouvoir du groupe d'appartenance.|She examined how the construction of the Other had historically served to consolidate and justify in-group power.
La tradition philosophique du communitarisme remet en question l'individualisme libéral en soulignant la constitution sociale du soi.|The philosophical tradition of communitarianism challenges liberal individualism by emphasising the social constitution of the self.
Il a soutenu que la conception institutionnelle n'était jamais politiquement neutre mais encodait toujours des hypothèses sur le pouvoir et l'agence.|He argued that institutional design was never politically neutral but always encoded assumptions about power and agency.
Elle a soutenu que la catégorie des droits de l'homme était intrinsèquement incohérente et nécessitait une contestation permanente pour rester vivante.|She maintained that the category of human rights was internally incoherent and required ongoing contestation to remain vital.
La sécuritisation du changement climatique risque de militariser les réponses à un problème fondamentalement politique et social.|The securitisation of climate change risks militarising responses to a fundamentally political and social problem.
Il a examiné la relation entre la rationalité, la rationalité limitée et les processus cognitifs réels qui guident la prise de décision.|He examined the relationship between rationality bounded rationality and the actual cognitive processes that drive decision-making.
Elle a soutenu que la rencontre coloniale avait profondément façonné les disciplines de l'anthropologie, de la psychologie et de l'économie.|She argued that the colonial encounter had profoundly shaped the disciplines of anthropology psychology and economics.
Le défi épistémologique d'étudier le pouvoir depuis l'intérieur des relations de pouvoir soulève des problèmes méthodologiques fondamentaux pour les sciences sociales.|The epistemological challenge of studying power from within power relations raises fundamental methodological problems for social science.
Il a soutenu que la prolifération du droit international des droits de l'homme ne s'était pas traduite par des améliorations commensurables dans les résultats.|He contended that the proliferation of international human rights law had not translated into commensurate improvements in outcomes.
Elle a examiné comment le risque avait été individualisé dans le capitalisme tardif produisant des subjectivités anxieuses et des sujets auto-régulateurs.|She examined how risk had been individualised in late capitalism producing anxiety subjectivities and self-regulating subjects.
Le concept de reconnaissance en philosophie politique saisit la dimension irréductiblement sociale de l'identité personnelle et de la compréhension de soi.|The concept of recognition in political philosophy captures the irreducibly social dimension of personal identity and self-understanding.
Il a soutenu que l'ambiguïté délibérée dans les textes juridiques n'était pas un échec mais une stratégie politique pour gérer des conflits irréductibles.|He argued that deliberate ambiguity in legal texts was not a failure but a political strategy for managing irresolvable conflicts.
Elle a soutenu que la politique du blame dans les systèmes d'aide sociale servait à diviser et démonter les pauvres plutôt qu'à les soutenir.|She maintained that the politics of blame in welfare systems served to divide and demobilise the poor rather than support them.
L'émergence de la société civile mondiale a créé de nouveaux acteurs politiques qui opèrent à travers les frontières nationales, défiant les modèles de gouvernance centrés sur l'État.|The emergence of global civil society has created new political actors that operate across national borders challenging state-centred models of governance.
Il a examiné comment le langage de la crise était déployé stratégiquement pour légitimer les mesures d'urgence et contourner la délibération démocratique.|He examined how the language of crisis was deployed strategically to legitimise emergency measures and bypass democratic deliberation.
Elle a soutenu que les services de base universels plutôt que le revenu de base universel pourraient mieux répondre aux inégalités structurelles.|She argued that universal basic services rather than universal basic income might better address structural inequalities.
La financiarisation de la santé a produit des structures d'incitation perverses qui privilégient les procédures facturables aux résultats pour les patients.|The financialisation of healthcare has produced perverse incentive structures that prioritise billable procedures over patient outcomes.
Il a soutenu que la philosophie politique avait été trop préoccupée par la théorie idéale et pas assez attentive aux conditions non idéales.|He contended that political philosophy had been too preoccupied with ideal theory and insufficiently attentive to non-ideal conditions.
Elle a examiné l'économie politique de l'extraction dans les économies périphériques et sa relation avec la dépendance et le sous-développement.|She examined the political economy of extraction in peripheral economies and its relationship to dependency and underdevelopment.
La tension entre efficacité et légitimité dans les institutions internationales reflète des conflits plus profonds sur qui la gouvernance sert.|The tension between efficiency and legitimacy in international institutions reflects deeper conflicts over who governance serves.
Il a soutenu que la gouvernance biopolitique cherchait à optimiser la vie des populations plutôt qu'à protéger les droits des individus.|He argued that biopolitical governance sought to optimise the life of populations rather than protect the rights of individuals.
Elle a soutenu que l'éthique du soin offrait une critique féministe de la négligence de l'individualisme libéral envers la dépendance et la relationnalité.|She maintained that the ethics of care offered a feminist critique of liberal individualism's neglect of dependency and relationality.
La relation entre l'épistémologie populiste et l'autorité des experts éclaire des tensions plus larges dans la production de connaissances démocratiques.|The relationship between populist epistemology and expert authority illuminates broader tensions in democratic knowledge production.
Il a examiné comment la mémoire politique était contestée dans les transitions post-autoritaires alors que différents groupes cherchaient à définir le passé.|He examined how political memory was contested in post-authoritarian transitions as different groups sought to define the past.
Elle a soutenu que la marchandisation de l'attention avait distordu l'environnement informationnel d'une manière incompatible avec la citoyenneté démocratique.|She argued that the commodification of attention had distorted the information environment in ways incompatible with democratic citizenship.
