Si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné.|Had she not intervened at the last moment, the project would have been abandoned.
Le concept de biopouvoir, développé par Foucault, décrit comment les États modernes en sont venus à exercer un pouvoir sur la vie elle-même à travers l'administration des populations, de la santé, de la reproduction et de la mort.|The concept of biopower, developed by Foucault, describes how modern states have come to exercise power over life itself through the administration of populations health reproduction and death.
Il a soutenu que le concept de reconnaissance, central à la philosophie de Hegel et développé par Honneth, décrit le besoin humain fondamental de voir sa dignité, son identité et ses contributions reconnues par autrui.|He argued that the concept of recognition, central to Hegel's philosophy and developed by Honneth, describes the fundamental human need to have one's dignity identity and contributions acknowledged by others.
Elle a soutenu que la tension entre le conséquentialisme qui évalue les actions par leurs résultats et la déontologie qui les évalue par leur conformité aux règles morales représente l'un des débats les plus profonds et non résolus en éthique.|She maintained that the tension between consequentialism which evaluates actions by their outcomes and deontology which evaluates them by their conformity to moral rules represents one of the deepest unresolved debates in ethics.
Le concept d'intersectionnalité, développé par Kimberlé Crenshaw, révèle comment les multiples dimensions de l'identité sociale telles que la race, le genre et la classe se croisent pour créer des configurations uniques de privilège et d'oppression.|The concept of intersectionality, developed by Kimberlé Crenshaw, reveals how multiple dimensions of social identity such as race gender and class intersect to create unique configurations of privilege and oppression.
Il a soutenu que la philosophie du langage, à la suite des travaux tardifs de Wittgenstein, démontre que le sens n'est pas un objet mental privé mais est constitué dans des pratiques publiques d'utilisation au sein de formes de vie.|He contended that the philosophy of language, following Wittgenstein's later work, demonstrates that meaning is not a private mental object but is constituted in public practices of use within forms of life.
Elle a examiné comment l'impératif catégorique kantien exige que nous agissions seulement selon des maximes que nous pourrions vouloir voir devenir des lois universelles, testant le statut moral de nos actions à travers leur universalisabilité.|She examined how the Kantian categorical imperative demands that we act only according to maxims we could will to become universal laws testing the moral status of our actions through their universalisability.
Le concept d'état de nature, théorisé différemment par Hobbes, Locke et Rousseau, sert d'expérience de pensée pour révéler les fondements et les finalités de l'autorité politique et de l'ordre social.|The concept of the state of nature, variously theorised by Hobbes Locke and Rousseau, serves as a thought experiment to reveal the foundations and purposes of political authority and social order.
Il a soutenu que la tragédie des communs, décrite par Garrett Hardin, n'est pas un résultat inéluctable de la rationalité individuelle mais peut être résolue à travers des institutions de gouvernance collective comme Ostrom l'a démontré.|He argued that the tragedy of the commons, as described by Garrett Hardin, is not an inexorable result of individual rationality but can be resolved through collective governance institutions as Ostrom demonstrated.
Elle a soutenu que la critique post-structuraliste de la subjectivité révèle que la conception moderne d'un moi unifié rationnel et autonome est elle-même une construction historique produite à travers des relations pouvoir-savoir.|She maintained that the post-structuralist critique of subjectivity reveals that the modern conception of a unified rational autonomous self is itself a historical construction produced through power knowledge relations.
Le concept de mimesis dans la théorie de Girard décrit comment le désir humain est fondamentalement imitatif, conduisant à la rivalité, à la violence et au mécanisme du bouc émissaire qui sous-tend à la fois la religion et l'ordre social.|The concept of mimesis in Girard's theory describes how human desire is inherently imitative leading to rivalry violence and the scapegoating mechanism that underlies both religion and social order.
Il a soutenu que le concept d'hégémonie de Gramsci dépasse la coercition étatique pour englober la production du consentement à travers la société civile, la culture et l'idéologie, rendant la politique transformatrice dépendante d'un projet contre-hégémonique.|He contended that Gramsci's concept of hegemony extends beyond state coercion to encompass the production of consent through civil society culture and ideology making transformative politics dependent on a counter-hegemonic project.
Elle a examiné comment le débat en philosophie des sciences entre Kuhn et Popper sur les mécanismes du progrès scientifique révèle des tensions fondamentales entre le falsificationnisme et la sociologie de la connaissance scientifique.|She examined how the philosophy of science debate between Kuhn and Popper about the mechanisms of scientific progress reveals fundamental tensions between falsificationism and the sociology of scientific knowledge.
Le concept de dialectique négative, développé par Adorno, propose un mode de pensée critique qui résiste à l'impulsion idéaliste de résoudre les contradictions en fausses synthèses, en préservant le non-identique contre la pensée totalisante.|The concept of negative dialectics, developed by Adorno, proposes a mode of critical thinking that resists the idealist urge to resolve contradictions into false syntheses, preserving the non-identical against totalising thought.
Il a soutenu que le principe de différence de Rawls, qui permet les inégalités seulement si elles bénéficient au maximum aux moins favorisés, représente une reformulation exigeante de la justice libérale qui va bien au-delà de la simple équité procédurale.|He argued that Rawls's difference principle, which permits inequalities only if they maximally benefit the least advantaged, represents a demanding reformulation of liberal justice that goes far beyond mere procedural fairness.
Elle a soutenu que le concept du panoptique, théorisé par Bentham et réinterprété par Foucault, révèle comment l'architecture de surveillance opère comme un mécanisme de pouvoir qui internalise la discipline sans nécessiter d'observation constante.|She maintained that the concept of the panopticon, as theorised by Bentham and reinterpreted by Foucault, reveals how surveillance architecture operates as a mechanism of power that internalises discipline without requiring constant observation.
L'antinomie de la raison pure, identifiée par Kant, révèle que la raison humaine, lorsqu'elle est appliquée au-delà de l'expérience possible, génère des arguments contradictoires mais également valides sur la liberté, la causalité, l'infini et l'existence de Dieu.|The antimony of pure reason, as identified by Kant, reveals that human reason when applied beyond possible experience generates contradictory but equally valid arguments about freedom causation infinity and the existence of God.
Il a soutenu que l'analyse de l'authenticité chez Heidegger exige d'affronter la possibilité la plus propre de la mort comme condition qui individue le Dasein par rapport au das Man anonyme et révèle l'existence authentique.|He contended that Heidegger's analysis of authenticity requires confronting one's ownmost possibility of death as the condition that individualises Dasein from the anonymous das Man and reveals genuine existence.
Elle a examiné comment le concept de différance de Derrida révèle que le sens dans le langage n'est jamais pleinement présent mais est constitué à travers un jeu de différences et de renvois qui rend toute détermination finale du sens impossible.|She examined how Derrida's concept of différance reveals that meaning in language is never fully present but is constituted through a play of differences and deferrals that makes any final determination of meaning impossible.
Le concept d'aporie dans le discours philosophique décrit une difficulté logique apparemment irrésoluble ou un puzzle, que Socrate utilisait comme point de départ pour l'enquête philosophique plutôt que comme conclusion.|The concept of aporia in philosophical discourse describes an apparently irresolvable logical difficulty or puzzle, which Socrates used as a starting point for philosophical inquiry rather than a conclusion.
Il a soutenu que la dialectique hégélienne du maître et de l'esclave révèle un paradoxe fondamental de la domination selon lequel l'identité du maître devient dépendante de la reconnaissance de l'esclave, sapant ainsi la relation même de maîtrise.|He argued that Hegel's dialectic of master and slave reveals a fundamental paradox of domination whereby the master's identity becomes dependent on recognition from the slave thereby undermining the very relation of mastery.
Elle a soutenu que le cadre utilitariste, malgré son attrait intuitif, génère des conclusions troublantes dans les cas où maximiser le bien-être agrégé nécessite de sacrifier les droits et le bien-être des minorités.|She maintained that the utilitarian framework, despite its intuitive appeal, generates troubling conclusions in cases where maximising aggregate welfare requires sacrificing the rights and wellbeing of minorities.
Le problème philosophique de l'identité personnelle demande ce qui fait que vous êtes la même personne dans le temps malgré des changements radicaux dans le corps les croyances et les souvenirs, et si l'identité personnelle est une question de degré ou de nature.|The philosophical problem of personal identity asks what makes you the same person over time across radical changes in body beliefs and memories and whether personal identity is a matter of degree or kind.
Il a soutenu que la philosophie des actes de langage, développée par Austin et Searle, démontre que le langage ne décrit pas simplement le monde mais effectue des actions et crée des faits sociaux à travers la force des déclarations institutionnelles.|He contended that the philosophy of language acts, developed by Austin and Searle, demonstrates that language does not merely describe the world but performs actions and creates social facts through the force of institutional declarations.
Elle a examiné comment le concept philosophique du sublime, théorisé de Burke à Kant à Lyotard, pointe vers des expériences qui dépassent notre capacité de représentation, révélant les limites de la cognition et de l'esthétique humaines.|She examined how the philosophical concept of the sublime, theorised from Burke to Kant to Lyotard, points to experiences that exceed our capacity for representation revealing the limits of human cognition and aesthetics.
Le débat philosophique sur les fondements des mathématiques entre le platonisme qui soutient que les objets mathématiques existent indépendamment des esprits et le formalisme qui traite les mathématiques comme un jeu formel révèle des questions profondes sur la nature de la vérité mathématique.|The philosophical debate about the foundations of mathematics between Platonism which holds that mathematical objects exist independently of minds and formalism which treats mathematics as a formal game reveals deep questions about the nature of mathematical truth.
Il a soutenu que le concept de volonté de puissance de Nietzsche ne doit pas être compris comme un désir de domination sur autrui mais comme la pulsion fondamentale vers le dépassement de soi, l'expression créatrice et l'affirmation de la vie.|He argued that Nietzsche's concept of the will to power should not be understood as a desire for domination over others but as the fundamental drive toward self-overcoming creative expression and the affirmation of life.
Elle a soutenu que le cogito ergo sum cartésien, bien qu'établissant la certitude de la substance pensante, crée un dualisme problématique corps-esprit que la philosophie a eu du mal à résoudre pendant trois siècles.|She maintained that the Cartesian cogito ergo sum while establishing the certainty of thinking substance creates a problematic mind-body dualism that philosophy has struggled to resolve for three centuries.
La critique de l'industrie culturelle par l'École de Francfort soutient que la culture de masse sous le capitalisme ne libère ni ne divertit mais produit des marchandises standardisées qui renforcent le conformisme et la passivité politique.|The Frankfurt School's critique of the culture industry argues that mass culture under capitalism does not liberate or entertain but rather produces standardised commodities that reinforce conformism and political passivity.
Il a soutenu que le concept aristotélicien d'eudaimonia, souvent traduit par bonheur mais signifiant plus précisément épanouissement ou bien-vivre, fournit un compte rendu plus riche de la bonne vie que les conceptions hédoniques modernes.|He contended that Aristotle's concept of eudaimonia which is often translated as happiness but more accurately means flourishing or living well provides a richer account of the good life than modern hedonic conceptions.
Elle a examiné comment le concept du moi nouménal dans la philosophie kantienne, inaccessible à la raison théorique mais présupposé par la raison pratique, fonde l'agentivité morale et la liberté d'une façon que la causalité phénoménale ne peut expliquer.|She examined how the concept of the noumenal self in Kantian philosophy, inaccessible to theoretical reason but presupposed by practical reason, grounds moral agency and freedom in a way that phenomenal causality cannot account for.
Le problème philosophique du libre arbitre face au déterminisme demande si les choix humains sont véritablement libres ou sont ultimement causés par des états antérieurs du monde, générant de profondes tensions entre la responsabilité morale et le naturalisme scientifique.|The philosophical problem of free will versus determinism asks whether human choices are genuinely free or are ultimately caused by prior states of the world generating deep tensions between moral responsibility and scientific naturalism.
Il a soutenu que l'allégorie de la caverne de Platon démontre comment la plupart des êtres humains sont prisonniers des apparences et confondent les images sensorielles avec la vraie réalité, à laquelle seule l'éducation philosophique peut permettre d'accéder.|He argued that Plato's allegory of the cave demonstrates how most human beings are imprisoned by appearances and confuse sensory images with true reality which only philosophical education can enable one to access.
Elle a soutenu que le concept de liberté radicale de Sartre, qui affirme que l'existence précède l'essence, implique que les êtres humains sont condamnés à choisir et assument donc une responsabilité totale pour ce qu'ils font d'eux-mêmes.|She maintained that Sartre's concept of radical freedom, which holds that existence precedes essence, implies that human beings are condemned to choose and therefore bear total responsibility for what they make of themselves.
Le problème du mal pose le défi le plus fondamental au théisme en demandant comment un Dieu omnipotent omniscient et parfaitement bon pourrait permettre l'existence du mal moral et naturel dans le monde.|The problem of evil poses the most fundamental challenge to theism asking how a God who is omnipotent omniscient and perfectly good could permit the existence of moral and natural evil in the world.
Il a soutenu que le problème d'induction de Hume, montrant qu'aucun nombre fini d'observations ne peut justifier logiquement des conclusions universelles, représente un défi permanent aux fondements épistémologiques de la science empirique.|He contended that Hume's problem of induction, showing that no finite number of observations can logically justify universal conclusions, represents a permanent challenge to the epistemological foundations of empirical science.
Elle a examiné comment la philosophie du temps dans les Confessions d'Augustin révèle que le passé n'existe qu'en tant que mémoire, le futur en tant qu'attente et le présent en tant qu'attention, faisant du temps une propriété fondamentale de l'esprit plutôt que du monde.|She examined how the philosophy of time in Augustine's Confessions reveals that the past exists only as memory the future as expectation and the present as attention making time fundamentally a property of the mind rather than the world.
Le concept d'intersubjectivité en phénoménologie décrit comment notre expérience est fondamentalement façonnée par nos relations avec autrui et comment un monde partagé de sens est constitué à travers ces rencontres.|The concept of intersubjectivity in phenomenology describes how our experience is fundamentally shaped by our relations with others and how a shared world of meaning is constituted through these encounters.
Il a soutenu que les fondements normatifs des droits de l'homme ne peuvent reposer sur une simple convention juridique mais doivent faire appel à une base morale plus profonde, ancrée dans la dignité, l'agentivité rationnelle ou les besoins humains fondamentaux.|He argued that the normative foundations of human rights cannot rest on mere legal convention but must appeal to a deeper moral basis whether grounded in dignity rational agency or basic human needs.
Elle a soutenu que le concept de phronèsis ou sagesse pratique dans l'éthique d'Aristote décrit une disposition qui permet de délibérer bien sur ce qui conduit à la bonne vie dans des circonstances particulières plutôt que d'appliquer des règles universelles.|She maintained that the concept of phronesis or practical wisdom in Aristotle's ethics describes a disposition that enables one to deliberate well about what conduces to the good life in particular circumstances rather than applying universal rules.
Le concept philosophique d'émergence décrit comment les systèmes complexes peuvent présenter des propriétés et des comportements qui ne peuvent pas être prédits ou réduits aux propriétés de leurs parties composantes.|The philosophical concept of emergence describes how complex systems can exhibit properties and behaviours that cannot be predicted from or reduced to the properties of their component parts.
Il a soutenu que la méthode socratique d'élenchus, en révélant les contradictions au sein des croyances propres de l'interlocuteur, vise non pas à fournir des réponses mais à produire l'aporie qui rend possible la véritable enquête philosophique.|He contended that the Socratic method of elenchus, by revealing the contradictions within the interlocutor's own beliefs, aims not to provide answers but to produce the aporia that makes genuine philosophical inquiry possible.
Elle a examiné comment la philosophie de la religion débat si l'expérience religieuse peut servir de preuve pour l'existence de Dieu ou si ces expériences sont susceptibles d'explications naturalistes alternatives qui sapent leur valeur probatoire.|She examined how the philosophy of religion debates whether religious experience can serve as evidence for the existence of God or whether such experiences are subject to alternative naturalistic explanations that undermine their evidential value.
Le concept du cercle herméneutique, central à la théorie de l'interprétation, décrit comment comprendre un texte nécessite de passer entre le tout et ses parties d'une façon qui rend la compréhension à la fois possible et jamais complètement achevée.|The concept of the hermeneutic circle, central to interpretation theory, describes how understanding a text requires moving between the whole and its parts in a way that makes understanding both possible and never fully complete.
Il a soutenu que l'expérience de pensée de la machine à expérience proposée par Nozick sape les théories hédonistes du bien-être en montrant que nous valorisons des choses au-delà du plaisir, notamment les accomplissements authentiques et les relations réelles.|He argued that the thought experiment of the experience machine proposed by Nozick undermines hedonistic theories of wellbeing by showing that we value things beyond pleasure namely genuine achievement and real relationships.
Elle a soutenu que le concept de désirs de second ordre, introduit par Harry Frankfurt, révèle que ce qui distingue les personnes n'est pas les désirs de premier ordre mais la capacité de réfléchir et de s'identifier à certains désirs comme véritablement les siens.|She maintained that the concept of second-order desires, introduced by Harry Frankfurt, reveals that what makes persons distinct is not first-order desires but the capacity to reflect on and identify with certain desires as genuinely their own.
Le concept philosophique de supervenance décrit une relation de dépendance entre les propriétés de niveau supérieur et inférieur, de telle sorte que tout changement au niveau supérieur nécessite un changement au niveau inférieur, mais pas l'inverse.|The philosophical concept of supervenience describes a relationship of dependence between higher-level and lower-level properties such that any change in the higher-level requires a change in the lower-level but not vice versa.
Il a soutenu que la distinction philosophique entre le contexte de découverte et le contexte de justification, introduite par Reichenbach, est cruciale pour comprendre la différence entre la façon dont les théories scientifiques sont générées et dont elles sont évaluées.|He contended that the philosophical distinction between the context of discovery and the context of justification, introduced by Reichenbach, is crucial for understanding the difference between how scientific theories are generated and how they are evaluated.
Elle a examiné comment le libéralisme politique de Rawls tente de développer des principes de justice pouvant être approuvés depuis une variété de doctrines compréhensives, rendant possible la légitimité démocratique dans les sociétés pluralistes.|She examined how Rawls's political liberalism attempts to develop principles of justice that can be endorsed from a variety of comprehensive doctrines making democratic legitimacy possible in pluralist societies.
Le concept du problème de Gettier révèle que la définition tripartite traditionnelle de la connaissance comme croyance vraie justifiée est insuffisante car il peut exister des croyances vraies justifiées qui ne constituent pas une connaissance en raison de la chance épistémique.|The concept of the Gettier problem reveals that the traditional tripartite definition of knowledge as justified true belief is insufficient since there can be justified true beliefs that are not knowledge due to epistemic luck.
