Had she not intervened at the last moment, the project would have been abandoned.|Si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné.|si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné|n'eût-elle pas intervenu au dernier moment, le projet aurait été abandonné
I would have greatly appreciated it had you informed me in advance.|J'aurais grandement apprécié que vous m'en informiez à l'avance.|j'aurais grandement apprécié que vous m'en informiez à l'avance|il eût été préférable que vous me préveniez à l'avance
Not only did she fail to meet the deadline, but she also neglected to inform the team.|Non seulement elle n'a pas respecté les délais, mais elle a aussi négligé d'informer l'équipe.|non seulement elle n'a pas respecté les délais, mais elle a aussi négligé d'informer l'équipe
I would be most grateful if you could confirm the arrangements at your earliest convenience.|Je vous serais très reconnaissant de bien vouloir confirmer les dispositions dès que possible.|je vous serais très reconnaissant de bien vouloir confirmer les dispositions dès que possible
Not once had she considered the implications for those who would bear the consequences.|Pas une seule fois elle n'avait envisagé les implications pour ceux qui en subiraient les conséquences.|pas une seule fois elle n'avait envisagé les conséquences pour ceux qui allaient en pâtir
Having reflected at length on your proposal, I find myself unable to endorse it in its current form.|Après mûre réflexion sur votre proposition, je me vois dans l'impossibilité de l'approuver en l'état.|après mûre réflexion sur votre proposition, je me vois dans l'impossibilité de l'approuver en l'état
Little did he know that his mother had been aware of the situation all along.|Il ne savait pas que sa mère avait été au courant de la situation depuis le début.|il ignorait que sa mère avait toujours été au courant de la situation
I am inclined to believe that, had the circumstances been different, the outcome would have been far more satisfactory.|Je suis porté à croire que, si les circonstances avaient été différentes, le résultat aurait été bien plus satisfaisant.|je suis porté à croire que, dans d'autres circonstances, le résultat aurait été bien plus satisfaisant
So thoroughly had the situation deteriorated that no amount of mediation could restore trust.|La situation s'était tellement dégradée qu'aucune médiation ne pouvait restaurer la confiance.|la situation s'était à ce point détériorée qu'aucune médiation n'était en mesure de rétablir la confiance
I take it that you have had sufficient time to review the terms and conditions of the agreement.|Je suppose que vous avez eu suffisamment de temps pour examiner les termes et conditions de l'accord.|je suppose que vous avez eu le temps d'examiner les termes et conditions de l'accord
Had we acted more decisively at the outset, we might have avoided the current impasse.|Si nous avions agi plus résolument au départ, nous aurions peut-être évité l'impasse actuelle.|si nous avions agi de manière plus décisive dès le début, nous aurions peut-être évité l'impasse
Not only was the timeline unrealistic, but the resources allocated were wholly insufficient.|Non seulement le calendrier était irréaliste, mais les ressources allouées étaient totalement insuffisantes.|non seulement le calendrier était irréaliste, mais les ressources allouées étaient totalement insuffisantes
I would be failing in my duty if I did not bring this matter to your attention immediately.|Je manquerais à mes obligations si je ne portais pas immédiatement cette affaire à votre attention.|je manquerais à mon devoir si je ne portais pas immédiatement cela à votre attention
Scarcely had the meeting concluded when a series of objections were raised by the stakeholders.|La réunion venait à peine de se terminer que plusieurs objections ont été soulevées par les parties prenantes.|à peine la réunion s'était-elle terminée que plusieurs objections furent soulevées par les parties prenantes
I am of the firm conviction that the measures proposed, however well-intentioned, will prove counterproductive.|J'ai la ferme conviction que les mesures proposées, si bien intentionnées soient-elles, s'avéreront contre-productives.|j'ai la ferme conviction que ces mesures, bien qu'animées de bonnes intentions, produiront l'effet inverse
So profound was the misunderstanding between them that they ceased all communication thereafter.|Le malentendu entre eux était si profond qu'ils ont cessé toute communication par la suite.|le malentendu entre eux était si profond qu'ils cessèrent toute communication
Had she possessed greater foresight, she would never have signed such a disadvantageous contract.|Si elle avait eu davantage de discernement, elle n'aurait jamais signé un contrat aussi désavantageux.|si elle avait eu plus de discernement, elle n't aurait jamais signé un tel contrat|si elle avait fait preuve de plus de clairvoyance, elle n'aurait pas signé ce contrat désavantageux
I deeply regret that the cooperation between our departments has come to such an unfortunate end.|Je regrette profondément que la coopération entre nos services ait connu une fin aussi malheureuse.|je regrette profondément que la collaboration entre nos services se soit terminée de manière aussi malheureuse
The manner in which you have handled this crisis speaks volumes about your professional integrity.|La façon dont vous avez géré cette crise en dit long sur votre intégrité professionnelle.|la manière dont vous avez géré cette crise témoigne de votre intégrité professionnelle
Not for a moment did I suppose that such a sequence of events was conceivable.|Pas un instant je n'aurais imaginé qu'une telle succession d'événements fût concevable.|pas un instant je n'aurais imaginé qu'une telle suite d'événements était possible
I should like to point out, with all due respect, that the analysis presented is fundamentally flawed.|Je me permettrai de souligner, avec tout le respect que je vous dois, que l'analyse présentée est fondamentalement erronée.|je me permets de signaler, avec tout le respect qui vous est dû, que l'analyse présentée est fondamentalement erronée
So great was the pressure she was under that her health eventually suffered.|La pression qu'elle subissait était si grande que sa santé a fini par en pâtir.|la pression était si grande qu'elle a fini par affecter sa santé
I would venture to suggest that a more collaborative approach might yield better results.|Je me permettrais de suggérer qu'une approche plus collaborative pourrait produire de meilleurs résultats.|je me permettrais de proposer qu'une approche plus collaborative serait susceptible de porter ses fruits
Had the circumstances permitted, I would most certainly have attended the ceremony in person.|Si les circonstances l'avaient permis, j'aurais certainement assisté à la cérémonie en personne.|si les circonstances l'avaient permis, j'aurais très certainement assisté à la cérémonie en personne
Seldom have I witnessed such a blatant disregard for established procedures.|Il m'est rarement arrivé de constater un tel mépris flagrant des procédures établies.|il me rarement été donné d'observer un tel mépris des procédures établies
I should have been most grateful had you notified me before taking such a drastic step.|J'aurais été infiniment reconnaissant si vous m'aviez prévenu avant de prendre une mesure aussi radicale.|j'aurais été fort reconnaissant que vous me préveniez avant de prendre une telle décision
The situation, as it now stands, leaves much to be desired in terms of transparency and accountability.|La situation, en l'état actuel, laisse beaucoup à désirer en termes de transparence et de responsabilité.|la situation actuelle laisse beaucoup à désirer quant à la transparence et à la reddition des comptes
It is with the greatest reluctance that I must inform you of our decision to terminate the agreement.|C'est avec le plus grand regret que je dois vous informer de notre décision de mettre fin à l'accord.|c'est à contrecœur que je dois vous informer de notre décision de rompre le contrat
No sooner had she accepted the position than the scope of her responsibilities was drastically reduced.|À peine avait-elle accepté le poste que l'étendue de ses responsabilités fut drastiquement réduite.|à peine avait-elle accepté le poste que ses responsabilités ont été drastiquement réduites
I am somewhat at a loss to understand why this matter was not flagged at an earlier stage.|Je ne comprends pas très bien pourquoi cette question n'a pas été signalée à un stade antérieur.|j'ai quelque mal à comprendre pourquoi cette affaire n'a pas été portée à notre attention plus tôt
Were you to reconsider your position, I am confident we could find a mutually acceptable solution.|Si vous veniez à reconsidérer votre position, je suis convaincu que nous pourrions trouver une solution mutuellement acceptable.|dans l'hypothèse où vous reconsidèreriez votre position, je suis persuadé que nous pourrions trouver un accord
Having exhausted all other avenues, I find myself with no alternative but to escalate the matter.|Ayant épuisé toutes les autres voies, je me vois contraint d'escalader l'affaire à un échelon supérieur.|ayant épuisé toutes les options disponibles, je n'ai d'autre choix que de porter cette affaire à un niveau supérieur
So thoroughly had she prepared for the negotiation that every objection was anticipated in advance.|Elle s'était si minutieusement préparée à la négociation que toutes les objections avaient été anticipées.|elle avait si bien préparé la négociation que toutes les objections avaient été prévues à l'avance
I must respectfully disagree with the conclusion drawn from the available evidence.|Je dois respectueusement contester la conclusion tirée des éléments disponibles.|je dois respectueusement m'inscrire en faux contre la conclusion tirée des éléments disponibles
Not until you have considered all implications should you commit to a final decision.|Ce n'est qu'après avoir pris en compte toutes les implications que vous devriez vous engager dans une décision définitive.|vous ne devriez pas vous engager définitivement avant d'avoir pesé toutes les implications
I would urge you, in the strongest possible terms, to reconsider before proceeding further.|Je vous demande instamment, avec la plus grande fermeté, de reconsidérer la situation avant d'aller plus loin.|je vous presse vivement de reconsidérer la situation avant de poursuivre dans cette voie
Such was her composure throughout the ordeal that many failed to grasp the severity of her distress.|Elle avait gardé une telle maîtrise d'elle-même tout au long de l'épreuve que nombreux n'avaient pas perçu la gravité de sa détresse.|son calme apparent tout au long de l'épreuve avait trompé beaucoup sur la réelle souffrance qu'elle endurait
Notwithstanding the challenges encountered, the team managed to deliver a result of considerable merit.|Nonobstant les difficultés rencontrées, l'équipe est parvenue à produire un résultat d'une valeur considérable.|malgré les difficultés rencontrées, l'équipe a su livrer un résultat d'une qualité remarquable
Had I been privy to those discussions, I would have intervened at a much earlier stage.|Si j'avais été au courant de ces discussions, je serais intervenu bien plus tôt.|si j'avais eu connaissance de ces discussions, je serais intervenu à un stade bien antérieur
I must bring to your attention the discrepancy between what was agreed upon and what was delivered.|Je dois porter à votre attention l'écart entre ce qui avait été convenu et ce qui a été livré.|je me dois de signaler l'écart entre les engagements pris et ce qui a effectivement été fourni
So little time had elapsed since our last meeting that the transformation in her demeanor was all the more striking.|Si peu de temps s'était écoulé depuis notre dernière rencontre que la transformation de son attitude en était d'autant plus frappante.|si peu de temps s'était écoulé depuis notre dernière rencontre que le changement dans son attitude était d'autant plus saisissant
I take full responsibility for the oversight and assure you that measures have been taken to prevent recurrence.|J'assume l'entière responsabilité de cet oubli et vous assure que des mesures ont été prises pour éviter toute récurrence.|j'assume entièrement cet oubli et vous garantis que des mesures ont été prises pour qu'il ne se reproduise pas
Not by any stretch of the imagination could this outcome be considered satisfactory.|Il serait vraiment difficile, même avec la meilleure volonté du monde, de considérer ce résultat comme satisfaisant.|en aucun cas ce résultat ne saurait être considéré comme satisfaisant
Were she to submit the application before the deadline, her chances of success would be considerably enhanced.|Si elle soumettait la candidature avant la date limite, ses chances de succès s'en trouveraient considérablement améliorées.|si elle déposait sa candidature dans les délais, ses chances de réussite s'en trouveraient nettement accrues
I am compelled by a sense of professional duty to express my reservations regarding this course of action.|Je me sens tenu par un devoir professionnel d'exprimer mes réserves quant à cette ligne de conduite.|je me dois, par sens des responsabilités, d'exprimer mes réserves quant à cette démarche
Not a word had been spoken, yet the tension in the room was palpable to all those present.|Pas un mot n'avait été prononcé, et pourtant la tension dans la salle était palpable pour tous les présents.|personne n'avait encore dit un mot et déjà la tension était perceptible pour tous ceux qui se trouvaient là
So sensitive was the subject that even the most seasoned negotiators proceeded with extreme caution.|Le sujet était si sensible que même les négociateurs les plus chevronnés avançaient avec une extrême prudence.|la sensibilité du sujet était telle que même les négociateurs les plus expérimentés faisaient preuve d'une grande prudence
Having weighed the evidence carefully, one cannot but conclude that the original assessment was fundamentally mistaken.|Après avoir soigneusement pesé les éléments, on ne peut que conclure que l'évaluation initiale était fondamentalement erronée.|après examen approfondi des éléments, force est de conclure que l'évaluation initiale était fondamentalement erronée
I should be most appreciative if you could arrange for the matter to be resolved before the end of the week.|Je vous saurais gré de bien vouloir faire en sorte que cette affaire soit réglée avant la fin de la semaine.|je vous serais reconnaissant de bien vouloir faire en sorte que ce dossier soit clos avant la fin de la semaine
Rarely in my professional career have I encountered a situation as complex and as delicate as this one.|Il est rare, dans ma carrière professionnelle, que je me sois trouvé face à une situation aussi complexe et délicate.|rarement au cours de ma carrière ai-je été confronté à une situation aussi complexe et délicate
The manner in which the matter was handled betrayed a profound lack of judgment on the part of those responsible.|La façon dont l'affaire a été gérée a révélé un profond manque de jugement de la part des responsables.|la gestion de cette affaire a témoigné d'un défaut de discernement flagrant de la part des personnes en charge
No sooner had the agreement been signed than the first party sought to renegotiate its terms.|L'accord venait à peine d'être signé que la première partie cherchait déjà à en renégocier les termes.|à peine l'accord avait-il été signé que la première partie tentait déjà d'en renégocier les modalités
I find it incumbent upon me to draw your attention to the potential risks associated with this strategy.|Je m'estime dans l'obligation d'attirer votre attention sur les risques potentiels associés à cette stratégie.|il m'appartient d'attirer votre attention sur les risques potentiels que comporte cette stratégie
Such was the complexity of the issue that even the most experienced advisors hesitated before taking a stance.|La complexité du problème était telle que même les conseillers les plus expérimentés hésitaient avant de se prononcer.|la question était si complexe que même les experts les plus aguerris hésitaient à prendre position
Had the organization listened to the early warnings, the crisis could have been averted entirely.|Si l'organisation avait tenu compte des avertissements précoces, la crise aurait pu être entièrement évitée.|si l'organisation avait prêté attention aux signaux d'alerte, la crise aurait pu être complètement évitée
I would not wish to pre-empt the conclusion of the inquiry, but the preliminary findings are deeply troubling.|Je ne voudrais pas anticiper les conclusions de l'enquête, mais les premières constatations sont profondément préoccupantes.|je ne veux pas préjuger des conclusions de l'enquête, mais les premiers résultats sont fortement préoccupants
Not once during the entire proceedings did she reveal the extent of her personal involvement in the matter.|Pas une seule fois au cours de toute la procédure elle n'a révélé l'étendue de sa participation personnelle dans l'affaire.|à aucun moment pendant la procédure elle ne laissa transparaître sa propre implication dans l'affaire
So meticulous was her attention to detail that even the most minor inconsistencies did not escape her notice.|Son attention aux détails était si méticuleuse que même les incohérences les plus mineures ne lui échappaient pas.|elle accordait une telle attention aux détails que la moindre incohérence ne passait pas inaperçue à ses yeux
I am bound to advise you that proceeding without due diligence would expose the organisation to considerable liability.|Je suis dans l'obligation de vous avertir qu'agir sans diligence raisonnable exposerait l'organisation à une responsabilité considérable.|je me dois de vous avertir que procéder sans diligence raisonnable ferait courir un risque juridique significatif à l'organisation
Were the full implications of this decision to become public, the reputational damage would be irreparable.|Si les pleines implications de cette décision venaient à être connues du public, le préjudice porté à la réputation serait irréparable.|si les véritables conséquences de cette décision étaient rendues publiques, le tort causé à l'image de l'organisation serait irrémédiable
Not until much later did she fully comprehend the magnitude of what had been at stake.|Ce n'est que bien plus tard qu'elle a pleinement compris l'importance de ce qui était en jeu.|il lui fallut longtemps pour saisir pleinement l'enjeu de ce qui s'était joué
Having been given every opportunity to put forward her case, she chose to remain silent to the end.|S'étant vu offrir toutes les occasions de présenter ses arguments, elle a choisi de rester silencieuse jusqu'à la fin.|toutes les occasions lui avaient été offertes de s'expliquer, et pourtant elle avait choisi de garder le silence jusqu'au bout
Such is the gravity of the situation that an extraordinary meeting of the board has been convened.|La situation est d'une telle gravité qu'une réunion extraordinaire du conseil d'administration a été convoquée.|la gravité de la situation a nécessité la convocation d'une réunion extraordinaire du conseil d'administration
I must caution you that any attempt to circumvent the established procedure would be viewed most unfavourably.|Je dois vous mettre en garde contre le fait que toute tentative de contourner la procédure établie serait vue d'un très mauvais œil.|je dois vous avertir que toute tentative de contournement des procédures établies serait considérée d'un très mauvais œil
No amount of justification, however eloquent, could mitigate the gravity of the lapse that had occurred.|Aucune justification, aussi éloquente soit-elle, ne pouvait atténuer la gravité de la défaillance qui avait eu lieu.|aucune justification, si éloquente soit-elle, ne saurait minimiser la gravité de ce manquement
So persuasive was her argument that even the most sceptical members of the panel were won over.|Son argumentation était si convaincante que même les membres les plus sceptiques du jury ont été gagnés à sa cause.|son argumentaire était si persuasif qu'il a su convaincre même les membres les plus sceptiques du jury
I would consider it a personal honour if you were to accept my invitation to address this matter in confidence.|Je considèrerais comme un honneur personnel que vous acceptiez mon invitation à aborder cette question en toute confidentialité.|ce serait pour moi un honneur que vous acceptiez de traiter cette question en toute confiance
Rarely does one encounter such a confluence of misfortune and mismanagement as we have witnessed over these past months.|Il est rare que l'on soit témoin d'une telle conjonction de malchance et de mauvaise gestion que celle observée au cours de ces derniers mois.|on rencontre rarement une telle accumulation de malchance et de mauvaise gestion que celle dont nous avons été témoins ces derniers mois
Not withstanding the considerable efforts deployed, the outcome remains deeply unsatisfactory for all parties involved.|En dépit des efforts considérables déployés, le résultat demeure profondément insatisfaisant pour toutes les parties concernées.|malgré les efforts importants consentis, le résultat est loin de satisfaire les attentes des différentes parties
Had she been granted the resources she had repeatedly requested, the outcome would doubtless have been very different.|Si les ressources qu'elle avait demandées à plusieurs reprises lui avaient été accordées, le résultat aurait sans doute été très différent.|si l'on avait daigné lui allouer les ressources qu'elle réclamait depuis longtemps, l'issue eût sans doute été toute autre
The degree to which trust has been eroded within the organisation will take years of sustained effort to restore.|Le degré auquel la confiance a été érodée au sein de l'organisation nécessitera des années d'efforts soutenus pour être restaurée.|le niveau de confiance perdu au sein de l'organisation ne pourra être rétabli qu'au prix d'années d'efforts constants
I would urge you in the strongest possible terms to seek independent legal counsel before committing to any further course of action.|Je vous presse dans les termes les plus fermes de consulter un conseiller juridique indépendant avant de vous engager dans quelque démarche que ce soit.|je vous exhorte vivement à consulter un avocat indépendant avant de vous engager dans quelque action que ce soit
So extraordinary were the circumstances surrounding her dismissal that the case attracted considerable attention in legal circles.|Les circonstances entourant son licenciement étaient si extraordinaires que l'affaire a suscité une attention considérable dans les milieux juridiques.|les circonstances de son licenciement étaient si peu ordinaires que l'affaire a fait grand bruit dans les milieux du droit
